"idhod","hodnota","duvernost","stapro_kod","dnn_cis","dnn_kod","sektor_cis","sektor_kod","ozp_cis","ozp_kod","rok","uzemi_cis","uzemi_kod","ukazatel_txt","ozp_txt","uzemi_txt","typ_uzemi"
"704872962","87781","verejny","3780",,,,,"2307","116","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Výzkum a vývoj na ochranu životního prostředí","Česká republika",
"704872964","861014","verejny","3780",,,,,"2307","180","2007","97","19","Neinvestiční náklady na ochranu životního prostředí","Ost.akt.na ochr.živ.pr.","Česká republika",
"704462122","32334","verejny","3932",,,,,"2307","114","2007","97","19","Tržby z prodeje vedlejších produktů","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704462119","6619544","verejny","3932",,,,,"2307","140","2007","97","19","Tržby z prodeje vedlejších produktů","Ekologické nakládání s odpady","Česká republika",
"704462120","45695","verejny","3932",,,,,"2307","112","2007","97","19","Tržby z prodeje vedlejších produktů","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704872946","7309182","verejny","3932",,,,,,,"2007","97","19","Tržby z prodeje vedlejších produktů",,"Česká republika",
"704462117","368893","verejny","3932",,,,,"2307","130","2007","97","19","Tržby z prodeje vedlejších produktů","Ochrana ovzduší a klimatu","Česká republika",
"704462118","228830","verejny","3932",,,,,"2307","111","2007","97","19","Tržby z prodeje vedlejších produktů","Ekologické nakládání s odpadními vodami","Česká republika",
"704462121","1266","verejny","3932",,,,,"2307","113","2007","97","19","Tržby z prodeje vedlejších produktů","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704874244","3657655","verejny","726",,,,,"2307","140","2010","97","19","Investice na ochranu životního prostředí","Ekologické nakládání s odpady","Česká republika",
"704874259","930895","verejny","726",,,,,"2307","113","2010","97","19","Investice na ochranu životního prostředí","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704874226","3559046","verejny","726",,,,,"2307","130","2010","97","19","Investice na ochranu životního prostředí","Ochrana ovzduší a klimatu","Česká republika",
"704874271","713521","verejny","726",,,,,"2307","115","2010","97","19","Investice na ochranu životního prostředí","Ochrana proti záření","Česká republika",
"704874265","440734","verejny","726",,,,,"2307","114","2010","97","19","Investice na ochranu životního prostředí","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704874217","22646763","verejny","726",,,,,,,"2010","97","19","Investice na ochranu životního prostředí",,"Česká republika",
"704874235","9037578","verejny","726",,,,,"2307","111","2010","97","19","Investice na ochranu životního prostředí","Ekologické nakládání s odpadními vodami","Česká republika",
"704874282","1908808","verejny","726",,,,,"2307","180","2010","97","19","Investice na ochranu životního prostředí","Ost.akt.na ochr.živ.pr.","Česká republika",
"704874276","10625","verejny","726",,,,,"2307","116","2010","97","19","Investice na ochranu životního prostředí","Výzkum a vývoj na ochranu životního prostředí","Česká republika",
"704874253","2387901","verejny","726",,,,,"2307","112","2010","97","19","Investice na ochranu životního prostředí","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704874245","2791900","verejny","726",,,"5567","11000","2307","140","2010","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ekologické nakládání s odpady","Česká republika",
"704874219","10789177","verejny","726",,,"5567","13000",,,"2010","97","19","Investice na ochranu životního prostředí - nepodnikový sektor",,"Česká republika",
"704874267","323222","verejny","726",,,"5567","13000","2307","114","2010","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704874228","219557","verejny","726",,,"5567","13000","2307","130","2010","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana ovzduší a klimatu","Česká republika",
"704874255","505396","verejny","726",,,"5567","13000","2307","112","2010","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704874218","11857586","verejny","726",,,"5567","11000",,,"2010","97","19","Investice na ochranu životního prostředí - podnikový sektor",,"Česká republika",
"704874254","1882505","verejny","726",,,"5567","11000","2307","112","2010","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ochrana a sanace půdy, podzemních a povrchových vod","Česká republika",
"704874246","865755","verejny","726",,,"5567","13000","2307","140","2010","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ekologické nakládání s odpady","Česká republika",
"704874261","723523","verejny","726",,,"5567","13000","2307","113","2010","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704874236","1448296","verejny","726",,,"5567","11000","2307","111","2010","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ekologické nakládání s odpadními vodami","Česká republika",
"704874266","117512","verejny","726",,,"5567","11000","2307","114","2010","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ochrana krajiny a biodiverzity (druhová rozmanitost)","Česká republika",
"704874227","3339489","verejny","726",,,"5567","11000","2307","130","2010","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ochrana ovzduší a klimatu","Česká republika",
"704874260","207372","verejny","726",,,"5567","11000","2307","113","2010","97","19","Investice na ochranu životního prostředí - podnikový sektor","Omezování hluku a vibrací (kromě ochrany pracovišť)","Česká republika",
"704874237","7589282","verejny","726",,,"5567","13000","2307","111","2010","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Ekologické nakládání s odpadními vodami","Česká republika",
"704874277","10022","verejny","726",,,"5567","11000","2307","116","2010","97","19","Investice na ochranu životního prostředí - podnikový sektor","Výzkum a vývoj na ochranu životního prostředí","Česká republika",
"704874272","713521","verejny","726",,,"5567","11000","2307","115","2010","97","19","Investice na ochranu životního prostředí - podnikový sektor","Ochrana proti záření","Česká republika",
"704874278","603","verejny","726",,,"5567","13000","2307","116","2010","97","19","Investice na ochranu životního prostředí - nepodnikový sektor","Výzkum a vývoj na ochranu životního prostředí","Česká republika",
